,Start,End,Time Series Start,Time Series End,Unit,Fuel classification,Pmax available,Pmax available after the outage,Reason,Last updated
47,2022-06-07T11:49:00+02:00,2022-06-07T12:04:00+02:00,2022-06-07T11:49:00+02:00,2022-06-07T12:04:00+02:00,Amercoeur 1 R GT,NG,289.0,195.0,Awaiting information,2022-06-07T12:10:17+02:00
48,2022-06-07T09:41:00+02:00,2022-06-07T10:30:00+02:00,2022-06-07T09:41:00+02:00,2022-06-07T10:30:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Start delay,2022-06-07T09:42:56+02:00
49,2022-06-07T09:41:00+02:00,2022-06-07T10:30:00+02:00,2022-06-07T09:41:00+02:00,2022-06-07T10:30:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Start delay,2022-06-07T09:42:56+02:00
50,2022-06-05T08:43:00+02:00,2022-06-07T15:30:00+02:00,2022-06-05T08:43:00+02:00,2022-06-07T15:30:00+02:00,Zedelgem TJ,LF,18.0,0.0,Awaiting information,2022-06-07T15:40:45+02:00
51,2022-06-05T01:32:00+02:00,2022-06-05T05:28:00+02:00,2022-06-05T01:32:00+02:00,2022-06-05T05:28:00+02:00,Zelzate 2 Knippegroen,Other,315.0,130.0,Awaiting information,2022-06-05T05:40:33+02:00
52,2022-06-04T01:30:00+02:00,2022-06-06T19:55:00+02:00,2022-06-04T01:30:00+02:00,2022-06-06T19:55:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-06-06T21:20:16+02:00
53,2022-06-04T01:30:00+02:00,2022-06-06T19:55:00+02:00,2022-06-04T01:30:00+02:00,2022-06-06T19:55:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-06-06T21:20:19+02:00
54,2022-05-31T23:02:00+02:00,2022-06-01T02:05:00+02:00,2022-05-31T23:02:00+02:00,2022-06-01T02:05:00+02:00,Lillo Degussa ST,NG,10.0,0.0,Awaiting information,2022-06-01T02:05:40+02:00
55,2022-05-31T21:24:00+02:00,2022-06-01T10:20:00+02:00,2022-05-31T21:24:00+02:00,2022-06-01T10:20:00+02:00,Lillo Degussa GT2,NG,32.0,0.0,Awaiting information,2022-06-01T12:30:47+02:00
56,2022-05-31T20:42:00+02:00,2022-06-01T13:00:00+02:00,2022-05-31T20:42:00+02:00,2022-06-01T13:00:00+02:00,Amercoeur 1 R ST,NG,162.0,117.25,Awaiting information,2022-06-01T12:30:38+02:00
57,2022-05-31T20:42:00+02:00,2022-06-01T12:00:00+02:00,2022-05-31T20:42:00+02:00,2022-06-01T12:00:00+02:00,Amercoeur 1 R GT,NG,289.0,217.75,Awaiting information,2022-06-01T05:44:51+02:00
58,2022-05-31T14:52:00+02:00,2022-05-31T17:00:00+02:00,2022-05-31T14:52:00+02:00,2022-05-31T17:00:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-05-31T16:31:56+02:00
59,2022-05-31T14:52:00+02:00,2022-05-31T17:00:00+02:00,2022-05-31T14:52:00+02:00,2022-05-31T17:00:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-05-31T16:31:53+02:00
60,2022-05-30T15:17:00+02:00,2022-05-31T11:38:00+02:00,2022-05-30T15:17:00+02:00,2022-05-31T11:38:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-05-31T11:38:24+02:00
61,2022-05-30T15:17:00+02:00,2022-05-31T11:38:00+02:00,2022-05-30T15:17:00+02:00,2022-05-31T11:38:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-05-31T11:38:21+02:00
62,2022-05-30T10:28:00+02:00,2022-05-30T15:30:00+02:00,2022-05-30T10:28:00+02:00,2022-05-30T15:30:00+02:00,Lillo Degussa ST,NG,10.0,0.0,Awaiting information,2022-05-30T10:28:53+02:00
63,2022-05-30T08:21:00+02:00,2022-05-31T16:12:00+02:00,2022-05-30T08:21:00+02:00,2022-05-31T16:12:00+02:00,Lillo Degussa GT2,NG,32.0,0.0,Awaiting information,2022-05-31T16:12:29+02:00
64,2022-05-30T02:53:00+02:00,2022-05-30T10:04:00+02:00,2022-05-30T02:53:00+02:00,2022-05-30T10:04:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-05-30T10:04:13+02:00
65,2022-05-30T02:53:00+02:00,2022-05-30T10:04:00+02:00,2022-05-30T02:53:00+02:00,2022-05-30T10:04:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-05-30T10:04:15+02:00
66,2022-05-28T19:53:00+02:00,2022-05-28T23:00:00+02:00,2022-05-28T19:53:00+02:00,2022-05-28T23:00:00+02:00,Zelzate 2 Knippegroen,Other,315.0,125.0,Awaiting information,2022-05-28T21:52:16+02:00
67,2022-05-28T13:00:00+02:00,2022-05-28T18:44:00+02:00,2022-05-28T13:00:00+02:00,2022-05-28T18:44:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-05-28T18:44:40+02:00
68,2022-05-28T13:00:00+02:00,2022-05-28T18:44:00+02:00,2022-05-28T13:00:00+02:00,2022-05-28T18:44:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-05-28T18:44:38+02:00
69,2022-05-27T07:37:00+02:00,2022-05-27T12:00:00+02:00,2022-05-27T07:37:00+02:00,2022-05-27T12:00:00+02:00,Zelzate 2 Knippegroen,Other,315.0,220.0,Awaiting information,2022-05-27T07:38:56+02:00
70,2022-05-25T23:04:00+02:00,2022-05-26T17:56:00+02:00,2022-05-25T23:04:00+02:00,2022-05-26T17:56:00+02:00,Zelzate 2 Knippegroen,Other,315.0,220.0,Awaiting information,2022-05-26T17:57:11+02:00
71,2022-05-24T16:25:00+02:00,2022-05-24T19:13:00+02:00,2022-05-24T16:25:00+02:00,2022-05-24T19:13:00+02:00,SAINT-GHISLAIN STEG,NG,350.0,0.0,Awaiting information,2022-05-24T19:13:32+02:00
72,2022-05-24T12:40:00+02:00,2022-05-24T14:04:00+02:00,2022-05-24T12:40:00+02:00,2022-05-24T14:04:00+02:00,Zeebrugge 2 Fluxys,NG,40.0,0.0,Awaiting information,2022-05-24T14:04:30+02:00
73,2022-05-24T00:56:00+02:00,2022-05-24T23:30:00+02:00,2022-05-24T00:56:00+02:00,2022-05-24T23:30:00+02:00,Lillo Degussa GT1,NG,43.0,0.0,Awaiting information,2022-05-24T22:27:48+02:00
74,2022-05-23T20:45:00+02:00,2022-05-23T22:54:00+02:00,2022-05-23T20:45:00+02:00,2022-05-23T22:54:00+02:00,SAINT-GHISLAIN STEG,NG,350.0,0.0,Awaiting information,2022-05-23T22:55:23+02:00
75,2022-05-18T07:22:00+02:00,2022-05-18T14:00:00+02:00,2022-05-18T07:22:00+02:00,2022-05-18T14:00:00+02:00,Oorderen Bayer,NG,43.0,0.0,Technical failure,2022-05-18T07:22:51+02:00
76,2022-05-18T02:07:00+02:00,2022-05-18T04:00:00+02:00,2022-05-18T02:07:00+02:00,2022-05-18T04:00:00+02:00,COO 1 T,WA,158.0,0.0,Technical failure,2022-05-18T02:08:24+02:00
77,2022-05-17T15:42:00+02:00,2022-05-17T19:00:00+02:00,2022-05-17T15:42:00+02:00,2022-05-17T19:00:00+02:00,Zandvliet Power,NG,386.2,0.0,Awaiting information,2022-05-17T17:49:36+02:00
78,2022-05-17T13:25:00+02:00,2022-05-17T14:25:00+02:00,2022-05-17T13:25:00+02:00,2022-05-17T14:25:00+02:00,Zandvliet Power,NG,386.2,0.0,Awaiting information,2022-05-17T14:26:02+02:00
79,2022-05-17T06:57:00+02:00,2022-05-17T08:45:00+02:00,2022-05-17T06:57:00+02:00,2022-05-17T08:45:00+02:00,Zelzate 2 Knippegroen,Other,315.0,180.0,Awaiting information,2022-05-17T08:45:39+02:00
80,2022-05-16T05:35:00+02:00,2022-05-16T08:16:00+02:00,2022-05-16T05:35:00+02:00,2022-05-16T08:16:00+02:00,RODENHUIZE 4,Other,268.0,0.0,Start delay,2022-05-16T08:17:07+02:00
81,2022-05-15T16:33:00+02:00,2022-05-16T08:30:00+02:00,2022-05-15T16:33:00+02:00,2022-05-16T08:30:00+02:00,Lanaken Sappi,NG,43.0,0.0,Start delay,2022-05-16T09:36:48+02:00
82,2022-05-15T15:08:00+02:00,2022-05-16T08:20:00+02:00,2022-05-15T15:08:00+02:00,2022-05-16T08:20:00+02:00,SAINT-GHISLAIN STEG,NG,350.0,0.0,Awaiting information,2022-05-16T08:20:45+02:00
83,2022-05-14T23:00:00+02:00,2022-05-15T07:19:00+02:00,2022-05-14T23:00:00+02:00,2022-05-15T07:19:00+02:00,Zelzate 2 Knippegroen,Other,315.0,125.0,Fuel Supply Failure,2022-05-15T07:20:04+02:00
84,2022-05-11T16:00:00+02:00,2022-06-07T11:00:00+02:00,2022-05-11T16:00:00+02:00,2022-06-07T11:00:00+02:00,TIHANGE 2,NU,1008.0,930.0,Operational maintenance,2022-06-07T10:35:47+02:00
85,2022-05-11T13:12:00+02:00,2022-05-11T14:00:00+02:00,2022-05-11T13:12:00+02:00,2022-05-11T14:00:00+02:00,COO 3 T,WA,158.0,0.0,Awaiting information,2022-05-11T13:12:22+02:00
86,2022-05-11T13:12:00+02:00,2022-05-11T14:00:00+02:00,2022-05-11T13:12:00+02:00,2022-05-11T14:00:00+02:00,COO 5 T,WA,230.0,0.0,Awaiting information,2022-05-11T13:12:55+02:00
87,2022-05-11T13:11:00+02:00,2022-05-11T14:00:00+02:00,2022-05-11T13:11:00+02:00,2022-05-11T14:00:00+02:00,COO 2 T,WA,158.0,0.0,Awaiting information,2022-05-11T13:11:52+02:00
88,2022-05-11T13:10:00+02:00,2022-05-11T14:00:00+02:00,2022-05-11T13:10:00+02:00,2022-05-11T14:00:00+02:00,COO 1 T,WA,158.0,0.0,Awaiting information,2022-05-11T13:11:23+02:00
89,2022-05-08T18:00:00+02:00,2022-05-08T21:00:00+02:00,2022-05-08T18:00:00+02:00,2022-05-08T21:00:00+02:00,Marcinelle Energie (Carsid),NG,413.0,0.0,Technical Failure,2022-05-08T19:49:59+02:00
